"id", "closed_at", "created_at", "state", "url"
137, 2013-07-01 20:54:17, 2013-06-28 21:15:11, closed, https://api.github.com/repos/facebook/react/issues/137
166, 2013-07-05 23:18:09, 2013-07-05 23:00:19, closed, https://api.github.com/repos/facebook/react/issues/166
183, 2014-02-15 23:49:29, 2013-07-10 23:17:50, closed, https://api.github.com/repos/facebook/react/issues/183
215, 2013-07-19 23:35:43, 2013-07-19 19:15:07, closed, https://api.github.com/repos/facebook/react/issues/215
229, 2013-09-23 22:31:19, 2013-07-24 17:42:08, closed, https://api.github.com/repos/facebook/react/issues/229
242, 2013-09-07 20:54:59, 2013-07-30 03:19:58, closed, https://api.github.com/repos/facebook/react/issues/242
250, 2013-08-18 04:50:15, 2013-08-05 00:56:13, closed, https://api.github.com/repos/facebook/react/issues/250
264, 2013-08-25 18:34:36, 2013-08-14 16:24:14, closed, https://api.github.com/repos/facebook/react/issues/264
302, 2013-10-15 19:25:45, 2013-08-30 21:20:37, closed, https://api.github.com/repos/facebook/react/issues/302
358, 2013-10-11 23:46:30, 2013-09-18 19:05:26, closed, https://api.github.com/repos/facebook/react/issues/358
427, 2018-08-04 00:07:23, 2013-10-15 21:01:09, closed, https://api.github.com/repos/facebook/react/issues/427
441, 2015-01-08 00:47:38, 2013-10-22 05:23:53, closed, https://api.github.com/repos/facebook/react/issues/441
473, 2013-11-07 06:56:20, 2013-11-05 19:07:15, closed, https://api.github.com/repos/facebook/react/issues/473
496, 2013-11-13 22:53:24, 2013-11-09 01:00:11, closed, https://api.github.com/repos/facebook/react/issues/496
515, 2014-01-06 18:16:06, 2013-11-11 22:26:07, closed, https://api.github.com/repos/facebook/react/issues/515
517, 2014-02-19 18:58:55, 2013-11-11 22:29:48, closed, https://api.github.com/repos/facebook/react/issues/517
518, 2014-06-20 07:42:45, 2013-11-11 22:57:02, closed, https://api.github.com/repos/facebook/react/issues/518
519, 2014-02-19 18:58:55, 2013-11-11 22:57:36, closed, https://api.github.com/repos/facebook/react/issues/519
531, 2014-01-06 18:08:15, 2013-11-13 23:07:29, closed, https://api.github.com/repos/facebook/react/issues/531
532, 2013-11-25 17:29:53, 2013-11-13 23:09:44, closed, https://api.github.com/repos/facebook/react/issues/532
554, 2016-04-15 21:37:26, 2013-11-17 00:10:15, closed, https://api.github.com/repos/facebook/react/issues/554
590, 2013-12-26 06:15:14, 2013-11-23 04:24:21, closed, https://api.github.com/repos/facebook/react/issues/590
615, 2014-01-02 20:09:27, 2013-11-26 13:07:54, closed, https://api.github.com/repos/facebook/react/issues/615
631, 2014-01-03 19:20:22, 2013-12-04 19:27:34, closed, https://api.github.com/repos/facebook/react/issues/631
632, 2014-09-23 23:45:27, 2013-12-04 20:02:19, closed, https://api.github.com/repos/facebook/react/issues/632
633, 2014-12-10 22:33:37, 2013-12-04 20:42:43, closed, https://api.github.com/repos/facebook/react/issues/633
836, 2014-01-18 06:32:24, 2014-01-07 22:10:48, closed, https://api.github.com/repos/facebook/react/issues/836
837, 2014-02-13 07:55:20, 2014-01-07 22:19:52, closed, https://api.github.com/repos/facebook/react/issues/837
856, 2014-01-28 02:01:18, 2014-01-09 19:59:23, closed, https://api.github.com/repos/facebook/react/issues/856
858, 2017-10-01 22:17:29, 2014-01-09 22:58:14, closed, https://api.github.com/repos/facebook/react/issues/858
996, 2017-07-12 02:21:23, 2014-01-30 10:32:44, closed, https://api.github.com/repos/facebook/react/issues/996
1159, None, 2014-02-22 02:05:11, open, https://api.github.com/repos/facebook/react/issues/1159
1169, 2015-03-10 22:31:38, 2014-02-24 16:45:33, closed, https://api.github.com/repos/facebook/react/issues/1169
1232, 2015-07-20 23:57:01, 2014-03-07 15:52:15, closed, https://api.github.com/repos/facebook/react/issues/1232
1252, 2017-11-03 16:16:28, 2014-03-12 21:33:49, closed, https://api.github.com/repos/facebook/react/issues/1252
1253, None, 2014-03-12 21:35:00, open, https://api.github.com/repos/facebook/react/issues/1253
1263, 2014-03-28 01:50:28, 2014-03-17 08:02:36, closed, https://api.github.com/repos/facebook/react/issues/1263
1392, 2014-10-23 01:01:30, 2014-04-10 05:08:24, closed, https://api.github.com/repos/facebook/react/issues/1392
