"id", "closed_at", "created_at", "state", "url"
25, 2013-10-21 18:17:37, 2013-10-21 16:00:27, closed, https://api.github.com/repos/vuejs/vue/issues/25
36, 2013-11-16 06:32:36, 2013-11-16 03:36:01, closed, https://api.github.com/repos/vuejs/vue/issues/36
37, 2013-11-16 05:21:22, 2013-11-16 04:06:04, closed, https://api.github.com/repos/vuejs/vue/issues/37
56, 2014-01-16 22:08:40, 2014-01-16 19:06:51, closed, https://api.github.com/repos/vuejs/vue/issues/56
76, 2014-02-07 13:30:14, 2014-02-07 12:44:58, closed, https://api.github.com/repos/vuejs/vue/issues/76
80, 2014-02-08 21:00:50, 2014-02-08 06:27:18, closed, https://api.github.com/repos/vuejs/vue/issues/80
213, 2014-04-25 19:38:11, 2014-03-30 19:19:40, closed, https://api.github.com/repos/vuejs/vue/issues/213
232, 2014-04-15 23:07:26, 2014-04-10 21:39:27, closed, https://api.github.com/repos/vuejs/vue/issues/232
234, 2014-04-25 19:38:17, 2014-04-13 12:19:49, closed, https://api.github.com/repos/vuejs/vue/issues/234
238, 2014-08-29 15:27:17, 2014-04-14 15:27:14, closed, https://api.github.com/repos/vuejs/vue/issues/238
242, 2014-04-16 15:26:24, 2014-04-16 14:47:51, closed, https://api.github.com/repos/vuejs/vue/issues/242
247, 2014-04-25 17:26:52, 2014-04-25 00:28:10, closed, https://api.github.com/repos/vuejs/vue/issues/247
276, 2014-05-28 16:00:27, 2014-05-24 19:34:47, closed, https://api.github.com/repos/vuejs/vue/issues/276
288, 2014-06-06 15:31:38, 2014-05-30 19:56:34, closed, https://api.github.com/repos/vuejs/vue/issues/288
313, 2014-09-28 23:04:51, 2014-06-14 03:57:44, closed, https://api.github.com/repos/vuejs/vue/issues/313
324, 2014-09-28 23:04:51, 2014-06-22 13:32:37, closed, https://api.github.com/repos/vuejs/vue/issues/324
398, 2014-09-28 23:04:51, 2014-08-15 14:18:58, closed, https://api.github.com/repos/vuejs/vue/issues/398
558, 2014-11-24 22:00:44, 2014-11-12 17:55:02, closed, https://api.github.com/repos/vuejs/vue/issues/558
561, 2014-11-14 22:29:17, 2014-11-14 10:15:27, closed, https://api.github.com/repos/vuejs/vue/issues/561
569, 2014-11-19 06:59:23, 2014-11-17 09:25:49, closed, https://api.github.com/repos/vuejs/vue/issues/569
642, 2014-12-23 02:32:53, 2014-12-17 11:09:42, closed, https://api.github.com/repos/vuejs/vue/issues/642
655, 2015-02-24 22:56:59, 2014-12-25 11:32:39, closed, https://api.github.com/repos/vuejs/vue/issues/655
728, 2015-04-18 04:14:01, 2015-02-27 09:10:30, closed, https://api.github.com/repos/vuejs/vue/issues/728
736, 2015-04-17 22:10:19, 2015-03-07 21:33:11, closed, https://api.github.com/repos/vuejs/vue/issues/736
805, 2015-04-25 22:06:43, 2015-04-24 09:55:50, closed, https://api.github.com/repos/vuejs/vue/issues/805
806, 2015-04-25 22:08:25, 2015-04-24 13:25:22, closed, https://api.github.com/repos/vuejs/vue/issues/806
822, 2015-05-07 19:06:06, 2015-05-07 17:44:01, closed, https://api.github.com/repos/vuejs/vue/issues/822
939, 2015-06-16 14:35:23, 2015-06-14 07:37:54, closed, https://api.github.com/repos/vuejs/vue/issues/939
946, 2015-06-16 17:07:43, 2015-06-15 09:34:23, closed, https://api.github.com/repos/vuejs/vue/issues/946
1004, 2015-07-03 17:16:57, 2015-07-03 14:23:31, closed, https://api.github.com/repos/vuejs/vue/issues/1004
1005, 2015-07-03 16:46:33, 2015-07-03 15:04:30, closed, https://api.github.com/repos/vuejs/vue/issues/1005
1006, 2015-07-03 18:50:06, 2015-07-03 18:33:30, closed, https://api.github.com/repos/vuejs/vue/issues/1006
1023, 2015-07-12 15:32:21, 2015-07-07 20:42:11, closed, https://api.github.com/repos/vuejs/vue/issues/1023
1028, 2015-07-14 13:23:03, 2015-07-09 14:07:58, closed, https://api.github.com/repos/vuejs/vue/issues/1028
1044, 2015-07-17 17:36:42, 2015-07-14 02:32:03, closed, https://api.github.com/repos/vuejs/vue/issues/1044
1063, 2015-07-21 09:19:18, 2015-07-20 23:28:09, closed, https://api.github.com/repos/vuejs/vue/issues/1063
1065, 2015-07-23 15:01:40, 2015-07-21 15:42:35, closed, https://api.github.com/repos/vuejs/vue/issues/1065
1119, 2015-08-05 18:11:55, 2015-08-05 08:25:09, closed, https://api.github.com/repos/vuejs/vue/issues/1119
1120, 2015-08-05 13:19:47, 2015-08-05 09:08:59, closed, https://api.github.com/repos/vuejs/vue/issues/1120
1219, 2015-08-27 15:48:30, 2015-08-27 06:53:28, closed, https://api.github.com/repos/vuejs/vue/issues/1219
1244, 2015-09-07 16:30:35, 2015-09-03 09:42:55, closed, https://api.github.com/repos/vuejs/vue/issues/1244
1265, 2015-09-07 19:27:12, 2015-09-07 15:34:22, closed, https://api.github.com/repos/vuejs/vue/issues/1265
1268, 2015-09-08 15:51:23, 2015-09-08 03:58:51, closed, https://api.github.com/repos/vuejs/vue/issues/1268
1291, 2015-09-10 18:10:48, 2015-09-10 10:20:23, closed, https://api.github.com/repos/vuejs/vue/issues/1291
